status,purpose,home,catlon,catinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,own,midloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,medical,rent,midloan,lowinc
Charged Off,medical,rent,midloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,purchase,rent,midloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,own,midloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,own,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,medical,mortgage,lowloan,lowinc
Charged Off,business,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,renovation,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,other,mortgage,midloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,renovation,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,mortgage,midloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,renovation,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,renovation,mortgage,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,renovation,own,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,debt,own,midloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,medical,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,purchase,rent,midloan,lowinc
Charged Off,purchase,rent,midloan,lowinc
Charged Off,purchase,rent,midloan,lowinc
Charged Off,medical,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,business,rent,midloan,lowinc
Charged Off,renovation,mortgage,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,own,midloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,renovation,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,mortgage,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,business,rent,midloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,debt,own,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,midloan,lowinc
Charged Off,medical,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,renovation,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,medical,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,renovation,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,business,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,renovation,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,other,mortgage,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,other,rent,lowloan,lowinc
Charged Off,crcard,mortgage,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,crcard,own,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
Charged Off,medical,own,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,debt,mortgage,lowloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,debt,own,lowloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,crcard,rent,midloan,lowinc
Charged Off,purchase,mortgage,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,other,rent,midloan,lowinc
Charged Off,debt,own,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,debt,rent,midloan,lowinc
Charged Off,purchase,rent,lowloan,lowinc
Charged Off,other,own,lowloan,lowinc
Charged Off,debt,rent,lowloan,lowinc
